2346-phrase.npy: IDR: 97.78%     MR: 0.00%       FAR: 2.22%      IDA: 0.360 ms
2243-phrase.npy: IDR: 99.35%     MR: 0.65%       FAR: 0.00%      IDA: 0.291 ms
2341-phrase.npy: IDR: 97.96%     MR: 0.51%       FAR: 1.53%      IDA: 0.449 ms
2342-phrase.npy: IDR: 87.50%     MR: 4.17%       FAR: 8.33%      IDA: 0.472 ms
2378-phrase.npy: IDR: 87.74%     MR: 6.60%       FAR: 5.66%      IDA: 1.563 ms
2408-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.375 ms
2393-phrase.npy: IDR: 99.49%     MR: 0.51%       FAR: 0.00%      IDA: 0.683 ms
2247-phrase.npy: IDR: 90.22%     MR: 3.80%       FAR: 5.98%      IDA: 1.461 ms
2395-phrase.npy: IDR: 99.32%     MR: 0.68%       FAR: 0.00%      IDA: 1.437 ms
2394-phrase.npy: IDR: 87.04%     MR: 6.17%       FAR: 6.79%      IDA: 1.295 ms
2450-phrase.npy: IDR: 96.69%     MR: 1.65%       FAR: 1.65%      IDA: 0.680 ms
2430-phrase.npy: IDR: 84.66%     MR: 5.82%       FAR: 9.52%      IDA: 1.421 ms
2414-phrase.npy: IDR: 96.15%     MR: 3.85%       FAR: 0.00%      IDA: 1.309 ms
2464-phrase.npy: IDR: 98.01%     MR: 0.00%       FAR: 1.99%      IDA: 0.927 ms
2460-phrase.npy: IDR: 96.48%     MR: 3.02%       FAR: 0.50%      IDA: 0.457 ms
2455-phrase.npy: IDR: 96.53%     MR: 3.47%       FAR: 0.00%      IDA: 1.041 ms
2491-phrase.npy: IDR: 90.79%     MR: 3.95%       FAR: 5.26%      IDA: 1.370 ms
2465-phrase.npy: IDR: 91.40%     MR: 4.30%       FAR: 4.30%      IDA: 0.833 ms
2476-phrase.npy: IDR: 96.51%     MR: 0.58%       FAR: 2.91%      IDA: 0.992 ms
2469-phrase.npy: IDR: 85.25%     MR: 4.10%       FAR: 10.66%     IDA: 1.741 ms
2493-phrase.npy: IDR: 96.77%     MR: 1.29%       FAR: 1.94%      IDA: 1.082 ms
2496-phrase.npy: IDR: 97.67%     MR: 0.00%       FAR: 2.33%      IDA: 0.139 ms
2508-phrase.npy: IDR: 98.22%     MR: 1.78%       FAR: 0.00%      IDA: 0.178 ms
2507-phrase.npy: IDR: 91.03%     MR: 6.41%       FAR: 2.56%      IDA: 1.113 ms
2512-phrase.npy: IDR: 93.97%     MR: 2.59%       FAR: 3.45%      IDA: 0.562 ms
2527-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.386 ms
2536-phrase.npy: IDR: 86.52%     MR: 2.84%       FAR: 10.64%     IDA: 1.534 ms
2501-phrase.npy: IDR: 94.04%     MR: 3.31%       FAR: 2.65%      IDA: 1.216 ms
2562-phrase.npy: IDR: 83.08%     MR: 5.38%       FAR: 11.54%     IDA: 2.276 ms
2581-phrase.npy: IDR: 84.66%     MR: 5.29%       FAR: 10.05%     IDA: 2.013 ms
2565-phrase.npy: IDR: 86.61%     MR: 7.14%       FAR: 6.25%      IDA: 2.088 ms
2570-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.526 ms
2563-phrase.npy: IDR: 85.31%     MR: 2.10%       FAR: 12.59%     IDA: 1.769 ms
2539-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.612 ms
2564-phrase.npy: IDR: 84.85%     MR: 7.07%       FAR: 8.08%      IDA: 2.032 ms
2538-phrase.npy: IDR: 95.56%     MR: 1.11%       FAR: 3.33%      IDA: 0.938 ms

identification_rate:0.8973 miss_rate:0.04635 false_alarm_rate:0.05631 identification_accuracy:0.001293
