2062-phrase.npy: IDR: 83.97%     MR: 6.87%       FAR: 9.16%      IDA: 1.861 ms
2067-phrase.npy: IDR: 73.58%     MR: 9.43%       FAR: 16.98%     IDA: 2.516 ms
2071-phrase.npy: IDR: 79.13%     MR: 8.70%       FAR: 12.17%     IDA: 1.634 ms
2081-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.081 ms
2077-phrase.npy: IDR: 94.30%     MR: 2.63%       FAR: 3.07%      IDA: 0.655 ms
2080-phrase.npy: IDR: 92.55%     MR: 4.26%       FAR: 3.19%      IDA: 1.419 ms
2104-phrase.npy: IDR: 74.44%     MR: 12.22%      FAR: 13.33%     IDA: 2.289 ms
2102-phrase.npy: IDR: 83.82%     MR: 7.35%       FAR: 8.82%      IDA: 1.680 ms
2107-phrase.npy: IDR: 85.71%     MR: 7.14%       FAR: 7.14%      IDA: 1.548 ms
2090-phrase.npy: IDR: 88.74%     MR: 5.86%       FAR: 5.41%      IDA: 1.174 ms
2114-phrase.npy: IDR: 86.39%     MR: 6.51%       FAR: 7.10%      IDA: 2.023 ms
2122-phrase.npy: IDR: 86.15%     MR: 4.62%       FAR: 9.23%      IDA: 1.874 ms
2105-phrase.npy: IDR: 84.67%     MR: 5.23%       FAR: 10.10%     IDA: 1.596 ms
2121-phrase.npy: IDR: 79.10%     MR: 9.60%       FAR: 11.30%     IDA: 1.831 ms
2135-phrase.npy: IDR: 98.48%     MR: 0.00%       FAR: 1.52%      IDA: 0.183 ms
2124-phrase.npy: IDR: 94.86%     MR: 1.40%       FAR: 3.74%      IDA: 0.974 ms
2184-phrase.npy: IDR: 75.63%     MR: 10.08%      FAR: 14.29%     IDA: 2.232 ms
2185-phrase.npy: IDR: 95.76%     MR: 3.39%       FAR: 0.85%      IDA: 0.220 ms
2138-phrase.npy: IDR: 86.51%     MR: 5.58%       FAR: 7.91%      IDA: 1.521 ms
2186-phrase.npy: IDR: 98.71%     MR: 1.29%       FAR: 0.00%      IDA: 0.072 ms
2221-phrase.npy: IDR: 81.13%     MR: 6.60%       FAR: 12.26%     IDA: 1.539 ms
2151-phrase.npy: IDR: 94.24%     MR: 2.06%       FAR: 3.70%      IDA: 0.878 ms
2139-phrase.npy: IDR: 89.95%     MR: 4.31%       FAR: 5.74%      IDA: 1.569 ms
2215-phrase.npy: IDR: 62.50%     MR: 23.21%      FAR: 14.29%     IDA: 2.869 ms
2228-phrase.npy: IDR: 89.38%     MR: 5.62%       FAR: 5.00%      IDA: 1.148 ms
2224-phrase.npy: IDR: 95.18%     MR: 3.01%       FAR: 1.81%      IDA: 1.067 ms
2225-phrase.npy: IDR: 95.52%     MR: 0.75%       FAR: 3.73%      IDA: 0.840 ms
2229-phrase.npy: IDR: 96.36%     MR: 3.64%       FAR: 0.00%      IDA: 0.965 ms
2233-phrase.npy: IDR: 94.83%     MR: 0.00%       FAR: 5.17%      IDA: 0.168 ms
2230-phrase.npy: IDR: 99.32%     MR: 0.68%       FAR: 0.00%      IDA: 0.150 ms
2232-phrase.npy: IDR: 96.36%     MR: 2.73%       FAR: 0.91%      IDA: 0.442 ms
2239-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.412 ms
2240-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.103 ms
2245-phrase.npy: IDR: 94.04%     MR: 3.21%       FAR: 2.75%      IDA: 1.218 ms
2288-phrase.npy: IDR: 83.92%     MR: 8.39%       FAR: 7.69%      IDA: 1.662 ms
2270-phrase.npy: IDR: 97.14%     MR: 0.00%       FAR: 2.86%      IDA: 0.244 ms
2292-phrase.npy: IDR: 84.54%     MR: 7.73%       FAR: 7.73%      IDA: 1.573 ms
2272-phrase.npy: IDR: 86.84%     MR: 7.89%       FAR: 5.26%      IDA: 1.624 ms
2241-phrase.npy: IDR: 90.32%     MR: 0.00%       FAR: 9.68%      IDA: 0.118 ms
2298-phrase.npy: IDR: 80.82%     MR: 7.53%       FAR: 11.64%     IDA: 2.107 ms
2317-phrase.npy: IDR: 74.55%     MR: 11.82%      FAR: 13.64%     IDA: 2.246 ms
2338-phrase.npy: IDR: 71.72%     MR: 13.13%      FAR: 15.15%     IDA: 2.179 ms
2293-phrase.npy: IDR: 93.73%     MR: 3.14%       FAR: 3.14%      IDA: 0.884 ms
2331-phrase.npy: IDR: 84.21%     MR: 7.52%       FAR: 8.27%      IDA: 1.308 ms
2363-phrase.npy: IDR: 89.71%     MR: 4.41%       FAR: 5.88%      IDA: 1.536 ms
2307-phrase.npy: IDR: 91.35%     MR: 4.32%       FAR: 4.32%      IDA: 1.342 ms
2370-phrase.npy: IDR: 88.68%     MR: 5.03%       FAR: 6.29%      IDA: 1.446 ms
2374-phrase.npy: IDR: 88.67%     MR: 5.42%       FAR: 5.91%      IDA: 0.920 ms
2399-phrase.npy: IDR: 72.22%     MR: 13.33%      FAR: 14.44%     IDA: 2.264 ms
2420-phrase.npy: IDR: 98.92%     MR: 1.08%       FAR: 0.00%      IDA: 0.127 ms
2398-phrase.npy: IDR: 92.12%     MR: 3.03%       FAR: 4.85%      IDA: 1.144 ms
2378-phrase.npy: IDR: 75.96%     MR: 11.54%      FAR: 12.50%     IDA: 1.500 ms
2438-phrase.npy: IDR: 98.40%     MR: 1.60%       FAR: 0.00%      IDA: 0.083 ms
2425-phrase.npy: IDR: 88.95%     MR: 3.49%       FAR: 7.56%      IDA: 0.780 ms
2447-phrase.npy: IDR: 91.88%     MR: 2.50%       FAR: 5.62%      IDA: 1.427 ms
2449-phrase.npy: IDR: 88.82%     MR: 5.88%       FAR: 5.29%      IDA: 1.656 ms
2471-phrase.npy: IDR: 97.62%     MR: 1.59%       FAR: 0.79%      IDA: 0.120 ms
2466-phrase.npy: IDR: 72.86%     MR: 14.29%      FAR: 12.86%     IDA: 2.443 ms
2454-phrase.npy: IDR: 97.25%     MR: 1.83%       FAR: 0.92%      IDA: 0.715 ms
2479-phrase.npy: IDR: 93.49%     MR: 2.33%       FAR: 4.19%      IDA: 1.100 ms
2480-phrase.npy: IDR: 94.92%     MR: 1.13%       FAR: 3.95%      IDA: 0.956 ms
